Division,Substation,Consumer,Cd,Remarks
GOMD-VI,MTPS,Lafarge India Pvt. Ltd.,7.500,wef.07/01/09
GOMD-VI,MTPS,"Lafarge India Pvt. Ltd., U # II",2.000
GOMD-VI,MTPS,SRC Udyog Ltd.,1.000
GOMD-VI,MTPS,Nilkanth Ferro Pvt. Ltd.,18.000
GOMD-VI,MTPS,Capricon Ispat Udyog Pvt. Ltd.,8.000
GOMD-VI,"ASP, Durgapur",Srinivsaa Ferro Alloys Ltd.,12.600
GOMD-VI,"ASP, Durgapur",Bhaskar Schrachi Alloys Ltd.,16.000
GOMD-VI,"ASP, Durgapur",Karthik Alloys Ltd.,10.750
GOMD-VI,"ASP, Durgapur",Shivam India Ltd.,15.000
GOMD-VI,"ASP, Durgapur",CP Sponge Iron Pvt. Ltd.,0.950
GOMD-VI,"ASP, Durgapur","NIT, Durgapur",2.000
GOMD-VI,DURGAPUR,Ultra tech Cement Limited,7.000
GOMD-VI,DURGAPUR,Dinman Polypacks Pvt.Ltd.,0.750,"wef 01.04,01.08"
GOMD-VI,DURGAPUR,VSP Udyog Pvt. Ltd.,11.000
GOMD-VI,DURGAPUR,Venky Hi-Tech Ispat Ltd,9.000,"wef 01.10.09, 22.04.10"
GOMD-VI,DURGAPUR,Brahm (Alloys) Pvt Ltd,10.000,"wef.1/10/08,06.06.09"
GOMD-VI,DURGAPUR,Sree Waris Piya Steel Co.P Ltd.,3.000
GOMD-VI,DURGAPUR,Shri Ramrupai Balaji Steels Ltd,26.000
GOMD-VI,DURGAPUR,Shyam Steel Ind. Ltd. ( formerly Shree Gopal Hi-Tech Pvt Ltd.),9.500
GOMD-VI,DURGAPUR,Neo Metaliks Limited,2.300,wef 27.12.2008
GOMD-VI,DURGAPUR,Ramsarup Nirmann Wires,1.000,"wef.12/10/08 24.06, 24.08.09"
GOMD-VI,DURGAPUR,Graphite India Ltd.,48.000,"wef.10/01,9/3/09,01/02/10"
GOMD-VI,DURGAPUR,Jai Balaji (Temporaray),22.000
GOMD-VI,DURGAPUR,Mackeil Ispat & Forging Ltd.,2.500
GOMD-VI,DURGAPUR,Jai Balaji Sponge Limited,10.000
GOMD-VI,DURGAPUR,Sova Power Ltd.,0.500,wef 04.11.2010
GOMD-VI,DURGAPUR,Jai Venkatesh ,11.000
GOMD-VI,DURGAPUR,Ruhr Ispat Pvt. Ltd.,1.250
GOMD-VI,DURGAPUR,Shivam Meltek Pvt. Ltd.,13.700
GOMD-VI,DURGAPUR,Jaishree Steels Pvt Ltd,5.000
GOMD-VI,DURGAPUR,Saran Alloys Pvt. Ltd.,3.000,wef 01.12.2012
GOMD-VI,BARJORA,Surya Alloy Industries Ltd.,12.000,"wef. 05.04.09,07.02.10,01.06.11"
GOMD-VI,BARJORA,BDG & Sons Pvt. Ltd.,35.500,"wef. 01.05.09, 19.01,12.05"
GOMD-VI,BARJORA,Tulip Fabrics Alloys Ltd.,0.320,"wef. 02.06.09,10.05.10"
GOMD-VI,BARJORA,Expandable Enterprises(P) Ltd.,3.150
GOMD-VI,BARJORA,Steelex Electrocast (P) Ltd,6.300
GOMD-VI,BARJORA,Cosmic Ferro Alloys Pvt. Ltd,27.500,"wef.20/12/08, 15/2/09"
GOMD-VI,BARJORA,G & A Metals,7.000,wef.01.08.08
GOMD-VI,BARJORA,Times Ferro Alloy Ltd.,4.800,wef.8/2/09
GOMD-VI,BARJORA,Rattan Ispat Pvt. Ltd.,4.000
GOMD-VI,BARJORA,Lalwani Ferro Alloys Ltd.,19.125,"wef.1/1,22/2,1/5,15.12.09,01.02.10,1/1/11"
